# step translation_acceptance inout_avbmc_acceptance outin_avbmc_acceptance nvt_inout_acceptance nvt_outin_acceptance
1000 0.4292 0.0000 0.1818 0.0000 0.1250
2000 0.3811 0.3636 0.1000 0.1667 0.0000
3000 0.3228 0.2000 0.1944 0.0000 0.0000
4000 0.2685 0.5000 0.2571 0.0000 0.1429
5000 0.2521 0.4000 0.1212 0.0000 0.0000
6000 0.2256 0.6000 0.1316 0.0000 0.0000
7000 0.2236 0.0000 0.0968 0.0000 0.2500
8000 0.2013 0.6667 0.0857 0.0000 0.0000
9000 0.1949 0.0000 0.0652 0.0000 0.0000
10000 0.1907 0.0000 0.1250 0.1667 0.0000
11000 0.1697 0.0000 0.1053 0.0000 0.0000
12000 0.1609 0.0000 0.0811 0.0000 0.0000
13000 0.1471 0.2000 0.0638 0.0000 0.1667
14000 0.1572 0.0000 0.1351 0.0000 0.0000
15000 0.1525 0.0000 0.1316 0.0000 0.0000
16000 0.1484 0.0000 0.1707 0.0000 0.0000
17000 0.1544 0.0000 0.1000 0.0000 0.3333
18000 0.1409 0.0000 0.0638 0.0000 0.0000
19000 0.1474 0.0000 0.1556 0.0000 0.0000
20000 0.1429 0.2000 0.0000 0.0000 0.0000
21000 0.1370 0.0000 0.0526 0.2000 0.0000
22000 0.1250 0.3333 0.1143 0.0000 0.0000
23000 0.1502 0.0000 0.0800 0.0000 0.0000
24000 0.1406 0.5000 0.0541 0.0000 0.1667
25000 0.1228 0.0000 0.0286 0.0000 0.0000
26000 0.1287 0.0000 0.0682 0.0000 0.0000
27000 0.1101 0.0000 0.0952 0.0000 0.0000
28000 0.1160 0.5000 0.1143 0.0000 0.0000
29000 0.1550 0.0000 0.0345 0.1000 0.0000
30000 0.1296 0.0000 0.0500 0.0000 0.0000
31000 0.1235 0.0000 0.0952 0.0000 0.0000
32000 0.1283 0.0000 0.0385 0.0000 0.2500
33000 0.1298 0.0000 0.0682 0.0000 0.0000
34000 0.1195 0.0000 0.0857 0.0000 0.0000
35000 0.1399 0.3333 0.0000 0.0000 0.0000
36000 0.1377 0.0000 0.1026 0.1000 0.0909
37000 0.1096 0.0000 0.0000 0.0000 0.0625
38000 0.1279 0.0000 0.1212 0.0000 0.5000
39000 0.1228 0.0000 0.0556 0.0000 0.0000
40000 0.1251 0.0000 0.0930 0.0000 0.0000
41000 0.1220 0.0000 0.0500 0.0000 0.0000
42000 0.1289 0.0000 0.0714 0.0000 0.0000
43000 0.1119 0.0000 0.0667 0.0000 0.0000
44000 0.1308 0.0000 0.0571 0.0000 0.0000
45000 0.1356 0.0000 0.0652 0.0000 0.0000
46000 0.1039 0.0000 0.0571 0.0000 0.0000
47000 0.1048 0.0000 0.0270 0.0000 0.0000
48000 0.1207 0.0000 0.0938 0.0000 0.1250
49000 0.1336 0.0000 0.0938 0.0000 0.0000
50000 0.1103 0.0000 0.0882 0.1429 0.0000
51000 0.1344 0.0000 0.0882 0.0000 0.0000
52000 0.1242 0.0000 0.0455 0.0000 0.0909
53000 0.1294 0.0000 0.0370 0.0000 0.0000
54000 0.1097 0.0000 0.0526 0.0000 0.0000
55000 0.1295 0.0000 0.0513 0.0000 0.0000
56000 0.1033 0.0000 0.0488 0.0000 0.0000
57000 0.1102 0.0000 0.0588 0.0000 0.1250
58000 0.1263 0.0000 0.1818 0.3333 0.0000
59000 0.0954 0.4000 0.0465 0.0000 0.0000
60000 0.1115 0.0000 0.0000 0.0000 0.0000
